FNV	A32	DJB
980	1030	986
998	947	984
1021	985	1015
1000	1031	933
1007	1032	998
1061	973	998
1010	977	1037
1029	1023	955
991	984	996
1023	1006	991
977	1004	995
988	1043	1007
986	1077	990
992	982	994
1032	1029	966
979	1017	996
1083	1056	1003
906	993	964
955	1006	953
1028	940	991
1009	994	1027
1017	992	985
1056	1009	1002
989	1005	1019
1020	967	986
959	1060	1029
1027	1002	921
1063	1014	1031
992	959	1010
1030	1003	967
996	969	995
1012	985	1023
1040	1049	981
936	1033	1012
1052	986	946
1001	1003	1037
1017	1016	986
988	923	1004
998	993	946
1021	1019	968
973	1007	1001
1052	971	992
979	970	981
984	1002	976
910	997	984
1006	978	943
1022	952	1006
964	1005	1015
1021	1034	955
1045	989	1035
1026	990	944
1024	992	986
1018	1017	996
1020	1002	965
963	990	1004
1018	983	1006
978	950	1057
979	1023	980
1007	981	1007
1020	1018	1073
980	991	1041
1060	1012	1008
968	978	1019
952	1023	1004
956	946	987
1018	948	985
966	1076	1016
997	1024	1024
988	1034	1031
995	964	1029
1043	1043	967
998	1014	1071
965	975	986
1049	996	999
1058	984	968
1014	998	1047
1000	1013	1011
959	985	991
987	959	1042
1003	1005	994
1014	1032	1063
981	1020	991
1038	929	1006
1029	1039	1002
1002	1003	1015
968	1033	1037
953	1022	1007
985	1000	1083
976	994	992
1001	998	957
1011	1012	1054
965	1043	978
943	981	986
1030	1005	1022
999	965	1052
967	1027	1051
961	976	1046
999	980	954
980	1009	971
964	997	980
